symbol,mentions,sentiment
AAL,5,-0.3424833333333333
AI,22,0.07271034482758622
BULL,7,-0.017966666666666672
E,5,0.26344
ETF,6,-0.03172857142857144
EU,12,0.07468064516129035
EUR,7,0.30855000000000005
IS,5,-0.048319999999999974
LOL,6,0.6311
MP,7,0.07542500000000002
NEWS,5,0.25486
NVDA,6,-0.0066500000000000075
OF,5,0.2880166666666667
OP,16,0.2867625
OTM,5,-0.08684
P,5,0.38720000000000004
QQQ,7,0.05269999999999999
R,5,0.25278
RIP,5,-0.2028
S,17,0.24047777777777776
SEC,5,-0.31470000000000004
SPY,22,-0.04619259259259261
THE,5,0.44554444444444447
TSLA,9,0.1078888888888889
U,15,0.19306470588235292
US,80,0.07265963302752287
USA,12,0.007400000000000008
USD,20,0.08959090909090908
WSB,84,0.5397155405405392
